,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude,last_modified_hour,last_modified_minutes,last_modified_Day,last_modified_Month,last_modified_Year,Earned
16890,6600144,3014164,Private room,Oostelijk Havengebied / Indische Buurt,56,5.0,2,1,84,Private Cozy Room,52.364995,4.934464,16,13,22,7,2017,4704
16891,3785760,19429461,Private room,Noord Oost,7,5.0,2,1,84,Spacious Room,52.393423,4.956142,16,13,22,7,2017,588
16892,9192196,47687781,Private room,Noord Oost,13,5.0,2,0,84,Appartement the Watersnip,52.409393,4.961788,16,13,22,7,2017,1092
16893,7816866,9064219,Private room,Oud Noord,3,4.5,2,1,89,"B&B HutSpot , 2",52.396407,4.917882,16,13,22,7,2017,267
16894,889702,4720967,Private room,Noord West,20,3.0,3,1,90,Chic apartment 2,52.410178,4.906253,16,13,22,7,2017,1800
16895,18882385,131580321,Private room,Centrum West,4,5.0,2,0,102,Cozy front room with beautiful canal view | Centre,52.379718,4.890176,16,13,22,7,2017,408
16896,16863838,25504507,Private room,Centrum Oost,3,4.5,2,1,90,Great room in the absolute city centre,52.364778,4.893575,16,13,22,7,2017,270
16897,8219419,38064655,Private room,Centrum Oost,2,0.0,2,1,90,Beautiful centrally located Room,52.363547,4.89788,16,13,22,7,2017,180
16898,18865064,1557267,Private room,Oostelijk Havengebied / Indische Buurt,4,5.0,2,1,84,"Modern, Sunny, HIP Amsterdam Oost Private Room",52.371154,4.945366,16,13,22,7,2017,336
16899,16495684,97819610,Private room,Oostelijk Havengebied / Indische Buurt,1,0.0,2,1,96,Sunny apartment in Amsterdam East (upstairs),52.363336,4.939887,16,13,22,7,2017,96
16900,2120206,5320937,Private room,Oud Noord,35,5.0,3,2,90,Two nice rooms with great breakfast + free parking,52.390879,4.928487,16,13,22,7,2017,3150
16901,9862193,50510716,Private room,Centrum West,19,4.5,2,1,102,Cosy room in the heart of town,52.375328,4.901283,16,13,22,7,2017,1938
16902,1670232,7050970,Private room,Oud Noord,14,5.0,2,1,84,1 private and confortable room,52.397734,4.914819,16,13,22,7,2017,1176
16903,13758528,22151651,Private room,Centrum West,36,4.0,4,0,97,Amsterdam Studio,52.366991,4.891042,16,13,22,7,2017,3492
16904,14412610,88479375,Private room,Centrum Oost,69,5.0,2,0,102,"""B&B Serendipity""  Studio 22m2 in Plantage + bikes",52.364393,4.916249,16,13,22,7,2017,7038
16905,9724374,50189454,Private room,Centrum Oost,0,0.0,2,1,84,"Spacious Private Room, City Center",52.363915,4.898858,16,13,22,7,2017,0
16906,5009826,12025422,Private room,Centrum West,38,4.5,2,1,102,Green room on the top,52.37776,4.891152,16,13,22,7,2017,3876
16907,6232082,22705731,Private room,Oud Noord,4,5.0,2,1,90,Sunfilled Room in 3 Story House,52.385432,4.912455,16,13,22,7,2017,360
16908,10760112,20654315,Private room,Centrum West,0,0.0,2,1,90,Apartment in 18th Century house,52.37343,4.899727,16,13,22,7,2017,0
16909,17472980,118345810,Private room,Oud Noord,3,3.0,2,0,101,Perfect place for two. Bikes are inclusive!,52.38733,4.908501,16,13,22,7,2017,303
16910,18975382,52967620,Private room,Oostelijk Havengebied / Indische Buurt,3,5.0,4,1,90,"Apartment in the city center, perfect location",52.371305,4.935383,16,13,22,7,2017,270
16911,13875755,56431790,Private room,Ijburg / Eiland Zeeburg,29,4.5,2,1,84,"Beautiful new Apt, 15 minutes from Amsterdam CS",52.37185,4.9682,16,13,22,7,2017,2436
16912,16009831,104091630,Private room,Oostelijk Havengebied / Indische Buurt,4,3.0,2,0,96,Cosy studio near Windmill in trendy East,52.367805,4.94389,16,13,22,7,2017,384
16913,13385232,17455653,Private room,Westerpark,7,4.5,2,1,96,Main floor apartment at the canal in city center,52.38954,4.88779,16,13,22,7,2017,672
16914,11332750,57714676,Private room,Centrum West,8,4.5,2,1,95,Nice room in Amsterdam city centre,52.372296,4.890765,16,13,22,7,2017,760
16915,18725521,130227357,Private room,Oostelijk Havengebied / Indische Buurt,5,5.0,2,1,102,Cosy private room for 2 in Amsterdam East,52.363598,4.935134,16,13,22,7,2017,510
16916,14059307,20752882,Private room,Oostelijk Havengebied / Indische Buurt,10,5.0,2,1,102,Modern stylish apartment in trendy and hip area,52.363399,4.93362,16,13,22,7,2017,1020
